graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
myciel7.graph,191,seq_greedy,8,0.001370,9
myciel7.graph,191,seq_ldf,8,0.000564,8
myciel7.graph,191,rec_rlf,8,0.003983,8
myciel7.graph,191,par_jp,8,0.001442,9
myciel7.graph,191,par_opt_ver,8,0.448469,8
myciel7.graph,191,par_opt_ed,8,44.645821,8
queen12_12.graph,144,seq_greedy,8,0.001657,19
queen12_12.graph,144,seq_ldf,8,0.001779,19
queen12_12.graph,144,rec_rlf,8,0.017456,19
queen12_12.graph,144,par_jp,8,0.006722,17
queen12_12.graph,144,par_opt_ver,8,1.595491,16
queen12_12.graph,144,par_opt_ed,8,153.733172,16
queen15_15.graph,225,seq_greedy,8,0.001421,22
queen15_15.graph,225,seq_ldf,8,0.001171,26
queen15_15.graph,225,rec_rlf,8,0.019938,23
queen15_15.graph,225,par_jp,8,0.002718,24
queen15_15.graph,225,par_opt_ver,8,3.889342,20
queen15_15.graph,225,par_opt_ed,8,921.088511,18
miles1000.graph,128,seq_greedy,8,0.000951,47
miles1000.graph,128,seq_ldf,8,0.001083,43
miles1000.graph,128,rec_rlf,8,0.004665,45
miles1000.graph,128,par_jp,8,0.002470,44
miles1000.graph,128,par_opt_ver,8,2.617357,44
miles1000.graph,128,par_opt_ed,8,767.795139,42
queen10_10.graph,100,seq_greedy,8,0.000937,15
queen10_10.graph,100,seq_ldf,8,0.000969,17
queen10_10.graph,100,rec_rlf,8,0.006589,15
queen10_10.graph,100,par_jp,8,0.002101,15
queen10_10.graph,100,par_opt_ver,8,0.759225,15
queen10_10.graph,100,par_opt_ed,8,41.984744,13
mulsol.i.5.graph,186,seq_greedy,8,0.002610,31
mulsol.i.5.graph,186,seq_ldf,8,0.002395,31
mulsol.i.5.graph,186,rec_rlf,8,0.033584,31
mulsol.i.5.graph,186,par_jp,8,0.002794,31
mulsol.i.5.graph,186,par_opt_ver,8,1.744760,31
mulsol.i.5.graph,186,par_opt_ed,8,960.792619,31
queen9_9.graph,81,seq_greedy,8,0.000721,14
queen9_9.graph,81,seq_ldf,8,0.000684,16
queen9_9.graph,81,rec_rlf,8,0.004339,15
queen9_9.graph,81,par_jp,8,0.001927,14
queen9_9.graph,81,par_opt_ver,8,0.446595,12
queen9_9.graph,81,par_opt_ed,8,18.309699,12
homer.graph,561,seq_greedy,8,0.001512,15
homer.graph,561,seq_ldf,8,0.001911,13
homer.graph,561,rec_rlf,8,0.039138,13
homer.graph,561,par_jp,8,0.001972,15
homer.graph,561,par_opt_ver,8,0.757913,13
homer.graph,561,par_opt_ed,8,27.630988,13
jean.graph,80,seq_greedy,8,0.000143,11
jean.graph,80,seq_ldf,8,0.000286,10
jean.graph,80,rec_rlf,8,0.001055,10
jean.graph,80,par_jp,8,0.001219,11
jean.graph,80,par_opt_ver,8,0.114183,10
jean.graph,80,par_opt_ed,8,0.915205,10
le450_25b.graph,450,seq_greedy,8,0.001843,27
le450_25b.graph,450,seq_ldf,8,0.001977,25
le450_25b.graph,450,rec_rlf,8,0.044975,27
le450_25b.graph,450,par_jp,8,0.003799,27
le450_25b.graph,450,par_opt_ver,8,8.895457,26
le450_25b.graph,450,par_opt_ed,8,3039.859891,27
miles750.graph,128,seq_greedy,8,0.000669,34
miles750.graph,128,seq_ldf,8,0.000681,32
miles750.graph,128,rec_rlf,8,0.004056,33
miles750.graph,128,par_jp,8,0.001376,33
miles750.graph,128,par_opt_ver,8,1.892624,34
miles750.graph,128,par_opt_ed,8,192.349003,32
queen11_11.graph,121,seq_greedy,8,0.001397,17
queen11_11.graph,121,seq_ldf,8,0.001215,18
queen11_11.graph,121,rec_rlf,8,0.010359,17
queen11_11.graph,121,par_jp,8,0.011639,17
queen11_11.graph,121,par_opt_ver,8,1.041504,14
queen11_11.graph,121,par_opt_ed,8,78.832587,16
games120.graph,120,seq_greedy,8,0.000572,9
games120.graph,120,seq_ldf,8,0.000618,9
games120.graph,120,rec_rlf,8,0.005201,9
games120.graph,120,par_jp,8,0.001351,9
games120.graph,120,par_opt_ver,8,0.344448,9
games120.graph,120,par_opt_ed,8,3.643175,9
anna.graph,138,seq_greedy,8,0.000261,11
anna.graph,138,seq_ldf,8,0.000245,11
anna.graph,138,rec_rlf,8,0.001196,11
anna.graph,138,par_jp,8,0.000939,11
anna.graph,138,par_opt_ver,8,0.206596,11
anna.graph,138,par_opt_ed,8,3.622438,11
huck.graph,74,seq_greedy,8,0.000144,11
huck.graph,74,seq_ldf,8,0.000138,11
huck.graph,74,rec_rlf,8,0.000490,11
huck.graph,74,par_jp,8,0.000842,11
huck.graph,74,par_opt_ver,8,0.181173,11
huck.graph,74,par_opt_ed,8,1.625792,11
queen8_8.graph,64,seq_greedy,8,0.000367,13
queen8_8.graph,64,seq_ldf,8,0.000273,14
queen8_8.graph,64,rec_rlf,8,0.001241,12
queen8_8.graph,64,par_jp,8,0.001251,13
queen8_8.graph,64,par_opt_ver,8,0.246348,11
queen8_8.graph,64,par_opt_ed,8,8.076302,12
le450_5b.graph,450,seq_greedy,8,0.002013,13
le450_5b.graph,450,seq_ldf,8,0.004282,11
le450_5b.graph,450,rec_rlf,8,0.062340,13
le450_5b.graph,450,par_jp,8,0.002782,13
le450_5b.graph,450,par_opt_ver,8,3.894769,8
le450_5b.graph,450,par_opt_ed,8,201.410796,8
queen8_12.graph,96,seq_greedy,8,0.000889,16
queen8_12.graph,96,seq_ldf,8,0.000979,16
queen8_12.graph,96,rec_rlf,8,0.006890,15
queen8_12.graph,96,par_jp,8,0.001881,16
queen8_12.graph,96,par_opt_ver,8,0.574867,14
queen8_12.graph,96,par_opt_ed,8,33.387011,14
le450_5c.graph,450,seq_greedy,8,0.005420,16
le450_5c.graph,450,seq_ldf,8,0.006420,11
le450_5c.graph,450,rec_rlf,8,0.070098,16
le450_5c.graph,450,par_jp,8,0.003946,15
le450_5c.graph,450,par_opt_ver,8,1.986831,7
le450_5c.graph,450,par_opt_ed,8,682.139892,7
queen13_13.graph,169,seq_greedy,8,0.002219,20
queen13_13.graph,169,seq_ldf,8,0.002307,21
queen13_13.graph,169,rec_rlf,8,0.024561,19
queen13_13.graph,169,par_jp,8,0.002225,20
queen13_13.graph,169,par_opt_ver,8,2.008958,18
queen13_13.graph,169,par_opt_ed,8,295.685493,17
queen7_7.graph,49,seq_greedy,8,0.000138,11
queen7_7.graph,49,seq_ldf,8,0.000133,12
queen7_7.graph,49,rec_rlf,8,0.000466,11
queen7_7.graph,49,par_jp,8,0.001016,12
queen7_7.graph,49,par_opt_ver,8,0.183666,10
queen7_7.graph,49,par_opt_ed,8,3.463428,9
mulsol.i.4.graph,185,seq_greedy,8,0.001090,31
mulsol.i.4.graph,185,seq_ldf,8,0.000961,31
