graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
myciel7.graph,191,color_op_ed,8,3.588230,8
miles1000.graph,128,color_op_ed,8,80.263861,44
queen10_10.graph,100,color_op_ed,8,4.115864,13
dsjc125.5.graph,125,color_op_ed,8,55.955794,22
mulsol.i.5.graph,186,color_op_ed,8,75.616656,31
dsjc125.1.graph,125,color_op_ed,8,0.296260,7
queen9_9.graph,81,color_op_ed,8,1.865275,12
homer.graph,561,color_op_ed,8,3.569059,14
miles750.graph,128,color_op_ed,8,20.931498,33
queen11_11.graph,121,color_op_ed,8,7.677497,15
games120.graph,120,color_op_ed,8,0.309704,9
anna.graph,138,color_op_ed,8,0.386898,11
r125.1.graph,125,color_op_ed,8,0.017618,6
queen8_8.graph,64,color_op_ed,8,0.817096,11
queen8_12.graph,96,color_op_ed,8,3.483543,14
queen7_7.graph,49,color_op_ed,8,0.335579,9
mulsol.i.4.graph,185,color_op_ed,8,75.127310,31
mulsol.i.1.graph,197,color_op_ed,8,120.601357,49
zeroin.i.3.graph,206,color_op_ed,8,66.948909,30
dsjr500.1.graph,500,color_op_ed,8,11.905768,13
myciel5.graph,47,color_op_ed,8,0.032838,6
zeroin.i.1.graph,211,color_op_ed,8,173.938258,49
myciel6.graph,95,color_op_ed,8,0.349164,7
miles250.graph,128,color_op_ed,8,0.099873,8
mulsol.i.3.graph,184,color_op_ed,8,73.587729,31
dsjc250.1.graph,250,color_op_ed,8,9.741876,11
david.graph,87,color_op_ed,8,0.307957,12
zeroin.i.2.graph,211,color_op_ed,8,67.458270,30
miles500.graph,128,color_op_ed,8,3.240172,21
queen6_6.graph,36,color_op_ed,8,0.109922,8
r250.1.graph,250,color_op_ed,8,0.425888,9
r125.5.graph,125,color_op_ed,8,119.266226,42
mulsol.i.2.graph,188,color_op_ed,8,72.880813,31
queen5_5.graph,25,color_op_ed,8,0.025336,5
